35
25654122|35
27799772|30
40001592|31
40002008|34
40011611|35
40013040|16
40014110|33
40016111|35
40017644|35
40019895|32
40019989|26
40020854|31
40021144|32
40021336|34
40021718|32
40022105|32
40022978|35
40024460|31
40024912|23
40025587|25
40025592|34
40026045|17
40027823|29
40027931|33
40028650|29
40029288|35
40029764|35
40035587|31
40035666|31
40036191|33
40036304|34
40036713|35
40037256|35
40037360|31
40037459|0
40037637|34
40037747|34
40037899|34
40037933|34
40038141|32
40038319|20
40038402|32
40038430|35
40038782|35
40039334|35
40039587|34
40039878|15
40039984|33
40039988|35
40040023|0
40040064|33
40040102|35
40040182|32
40040212|32
40040214|32
40040231|27
40040341|0
40040568|0
40040721|34
40041056|25
40041116|35
40041533|35
40041736|35
40041931|33
40041984|20
40042209|35
40042279|0
40042321|18
40042347|17
40042560|0
40042622|31
40042828|32
40042837|20
40042852|35
40042936|34
40042984|0
40043099|29
40043655|34
40043742|23
40043821|33
40044081|27
40044788|32
40045076|35
40046329|35
40046441|35
40046540|35
40046751|31
40046891|30
40047162|22
40047216|0
40047324|18
40047376|20
40047530|34
40047659|35
40047673|25
40047831|0
40047903|35
40047923|32
40047970|35
40047980|35
40048029|17
40048329|32
40048678|31
40048683|28
40048687|0
40049014|0
40049086|34
40049120|35
40049141|35
40049791|21
40049792|29
40049797|34
40049885|35
40049963|0
40050049|35
40050131|31
40050266|22
40050295|31
40050402|35
40050452|32
40050459|32
40050768|35
40050868|34
40051203|34
40051371|35
40051703|35
40051749|25
40051832|34
40052560|31
40052764|35
40053228|34
40053569|31
40053616|20
40053703|34
40053915|33
40054007|31
40054043|33
40054401|35
40054994|35
40055006|35
40055181|33
40055654|25
40055881|33
40055906|18
40056148|22
40056384|35
40056518|31
40056880|35
40056951|35
40057057|35
40057063|35
40057170|32
40057171|31
40057606|35
40057747|35
40057918|31
40057938|35
40057974|30
40058018|35
40058178|0
40058698|0
40058719|35
40059016|35
40059043|35
40059347|31
40059380|0
40059599|32
40059790|34
40059801|35
40059809|22
40059882|35
40061730|25
40067532|0
40067635|34
40068007|35
40068182|34
40068723|35
40068814|26
40069412|35
40069488|24
40069682|33
40069746|23
40070088|35
40070438|31
40070634|33
40070674|33
40070734|35
40070762|34
40070778|35
40070841|35
40070973|34
40070981|23
40071010|30
40071018|30
40071067|34
40071095|32
40071098|32
40071101|30
40071148|35
40071233|35
40071238|32
40071241|34
40071287|33
40071318|31
40072262|30
40073031|27
40073336|35
40074083|34
40074814|14
40074816|35
40074965|31
40075053|34
40075234|0
40075268|0
40075419|35
40075470|33
40075606|32
40076180|34
40078157|35
